Step,Joint_1,Joint_2,Joint_3,Joint_4,Joint_5,Joint_6,Joint_7,Timestamp
0,0.0,-0.785,0.0,-2.356,0.0,1.571,0.785,0
1,0.08063712441413941,-0.6941584301563059,-0.061923606939858565,-2.3644234431936395,-0.06962797030961848,1.5578727279402154,0.7800260952918495,316181309
2,0.16127424882827882,-0.6033168603126118,-0.12384721387971713,-2.372846886387279,-0.13925594061923696,1.5447454558804308,0.775052190583699,446137747
3,0.2419113732424182,-0.5124752904689176,-0.1857708208195757,-2.3812703295809188,-0.20888391092885544,1.5316181838206462,0.7700782858755485,547267021
4,0.32254849765655763,-0.4216337206252235,-0.24769442775943426,-2.389693772774558,-0.2785118812384739,1.5184909117608616,0.765104381167398,633210398
5,0.403185622070697,-0.33079215078152935,-0.30961803469929283,-2.3981172159681976,-0.3481398515480924,1.505363639701077,0.7601304764592475,709845752
6,0.4838227464848364,-0.23995058093783517,-0.3715416416391514,-2.4065406591618372,-0.4177678218577109,1.4922363676412922,0.755156571751097,779916509
7,0.5644598708989759,-0.149109011094141,-0.43346524857901,-2.414964102355477,-0.48739579216732937,1.4791090955815076,0.7501826670429464,844625677
8,0.6450969953131153,-0.058267441250446916,-0.4953888555188685,-2.4233875455491165,-0.5570237624769478,1.465981823521723,0.7452087623347959,904981086
9,0.7257341197272547,0.032574128593247265,-0.5573124624587271,-2.431810988742756,-0.6266517327865664,1.4528545514619384,0.7402348576266454,961275666
10,0.806371244141394,0.12341569843694133,-0.6192360693985857,-2.4402344319363958,-0.6962797030961848,1.4397272794021538,0.7352609529184949,14838027
11,0.8870083685555336,0.21425726828063552,-0.6811596763384442,-2.4486578751300354,-0.7659076734058032,1.4266000073423692,0.7302870482103444,66310403
12,0.9676454929696728,0.3050988381243297,-0.7430832832783028,-2.4570813183236746,-0.8355356437154218,1.4134727352825847,0.7253131435021939,116268985
13,1.0482826173838122,0.39594040796802366,-0.8050068902181613,-2.4655047615173142,-0.9051636140250402,1.4003454632228,0.7203392387940434,168256085
14,1.1289197417979517,0.48678197781171806,-0.86693049715802,-2.473928204710954,-0.9747915843346587,1.3872181911630155,0.7153653340858929,222354070
15,1.2095568662120912,0.577623547655412,-0.9288541040978785,-2.4823516479045935,-1.0444195546442772,1.374090919103231,0.7103914293777424,279211595
16,1.2901939906262305,0.6684651174991062,-0.990777711037737,-2.490775091098233,-1.1140475249538957,1.3609636470434463,0.7054175246695918,338969426
17,1.3708311150403698,0.7593066873428004,-1.0527013179775955,-2.4991985342918728,-1.183675495263514,1.3478363749836617,0.7004436199614413,403678594
18,1.4514682394545093,0.8501482571864946,-1.1146249249174542,-2.5076219774855124,-1.2533034655731328,1.334709102923877,0.6954697152532908,473749351
19,1.5321053638686488,0.9409898270301887,-1.1765485318573128,-2.516045420679152,-1.322931435882751,1.3215818308640923,0.6904958105451403,550642154
20,1.612742488282788,1.0318313968738826,-1.2384721387971713,-2.5244688638727912,-1.3925594061923696,1.3084545588043077,0.6855219058369898,637776236
21,1.6933796126969274,1.1226729667175768,-1.3003957457370297,-2.532892307066431,-1.462187376501988,1.2953272867445231,0.6805480011288393,740327187
22,1.774016737111067,1.213514536561271,-1.3623193526768884,-2.5413157502600705,-1.5318153468116065,1.2822000146847385,0.6755740964206888,874708707
23,1.8546538615252064,1.3043561064049651,-1.424242959616747,-2.54973919345371,-1.601443317121225,1.269072742624954,0.6706001917125383,190890015
